training files: data/train.en , data/train.es
testing  files: data/dev.en , data/dev.es
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'LBFGS', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.0', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
0 log likelihood: -132104.346298
1 log likelihood: -132033.123934
2 log likelihood: -131745.545274
3 log likelihood: -130542.716376
4 log likelihood: -122896.524303
5 log likelihood: -117686.353414
6 log likelihood: -115192.008043
7 log likelihood: -108880.002064
8 log likelihood: -105732.298752
9 log likelihood: -102767.410361
10 log likelihood: -101071.775451
11 log likelihood: -100222.386764
12 log likelihood: -99211.3943721
13 log likelihood: -98593.220905
14 log likelihood: -98088.8634854
15 log likelihood: -97691.7875723
16 log likelihood: -97361.942311
17 log likelihood: -97078.8316476
18 log likelihood: -96804.6820579
19 log likelihood: -96897.5269444
20 log likelihood: -96705.8661359
21 log likelihood: -96518.890946
22 log likelihood: -96304.1855348
23 log likelihood: -96328.0050699
24 log likelihood: -96223.2099529
25 log likelihood: -96128.9009519
26 log likelihood: -96012.6961097
27 log likelihood: -95893.7418748
28 log likelihood: -95783.987141
29 log likelihood: -95707.1456011
30 log likelihood: -95640.5067382
31 log likelihood: -95578.9692242
32 log likelihood: -95526.8137803
33 log likelihood: -95481.1954662
34 log likelihood: -95438.7288315
35 log likelihood: -95398.2456305
36 log likelihood: -95365.3858889
37 log likelihood: -95345.7046426
38 log likelihood: -95321.541823
39 log likelihood: -95307.6507122
40 log likelihood: -95288.8169923
41 log likelihood: -95261.6490563
42 log likelihood: -95239.2922004
43 log likelihood: -95220.229337
44 log likelihood: -95201.7545796
45 log likelihood: -95189.409879
46 log likelihood: -95183.0286635
47 log likelihood: -95175.4863058
48 log likelihood: -95160.9764597
49 log likelihood: -95149.1642634
50 log likelihood: -95142.769896
wrote weights to: LBFGS.0.0.model1.theta
wrote probs to: LBFGS.0.0.model1.probs
wrote alignments to: LBFGS.0.0.model1.alignments
wrote alignments to: LBFGS.0.0.model1.alignments.col
wrote alignments to: LBFGS.0.0.model1.alignments.col.tokens
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'LBFGS', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.005', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
0 log likelihood: -163450.858708
1 log likelihood: -163375.375336
2 log likelihood: -163071.154974
3 log likelihood: -161810.055625
4 log likelihood: -154196.989849
5 log likelihood: -146257.284537
6 log likelihood: -144570.46589
7 log likelihood: -138145.910243
8 log likelihood: -134465.136637
9 log likelihood: -131097.002427
10 log likelihood: -128398.739143
11 log likelihood: -126035.698081
12 log likelihood: -123976.868766
13 log likelihood: -122475.62572
14 log likelihood: -121373.887789
15 log likelihood: -120275.506296
16 log likelihood: -119446.360854
17 log likelihood: -118719.238774
18 log likelihood: -118155.129849
19 log likelihood: -117576.694999
